Output Order,Index Name,In Text Name,Category,Introduced in Version,Description,Numerator/equation,Denominator,Corpus/Database,Reference,Corpus/Database Reference,Mode-Genre,Raw/Lemma,Types of Words,Raw/Log,Tokens/Types
85,COCA_Academic_Frequency_AW,COCA Academic Frequency AW,Word Frequency,TAALES 2.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
86,COCA_Academic_Range_Log_AW,COCA Academic Range AW Logarithm,Word Range,TAALES 2.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Log Transformed,Tokens
87,COCA_Academic_Frequency_Log_AW,COCA Academic Frequency AW Logarithm,Word Frequency,TAALES 2.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Log Transformed,Tokens
88,COCA_Academic_Range_CW,COCA Academic Range CW,Word Range,TAALES 2.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,Content Words,Raw,Tokens
89,COCA_Academic_Frequency_CW,COCA Academic Frequency CW,Word Frequency,TAALES 2.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,Content Words,Raw,Tokens
90,COCA_Academic_Range_Log_CW,COCA Academic Range CW Logarithm,Word Range,TAALES 2.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,Content Words,Log Transformed,Tokens
91,COCA_Academic_Frequency_Log_CW,COCA Academic Frequency CW Logarithm,Word Frequency,TAALES 2.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,Content Words,Log Transformed,Tokens
92,COCA_Academic_Range_FW,COCA Academic Range FW,Word Range,TAALES 2.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,Function Words,Raw,Tokens
93,COCA_Academic_Frequency_FW,COCA Academic Frequency FW,Word Frequency,TAALES 2.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,Function Words,Raw,Tokens
94,COCA_Academic_Range_Log_FW,COCA Academic Range FW Logarithm,Word Range,TAALES 2.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,Function Words,Log Transformed,Tokens
95,COCA_Academic_Frequency_Log_FW,COCA Academic Frequency FW Logarithm,Word Frequency,TAALES 2.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,Function Words,Log Transformed,Tokens
96,COCA_fiction_Range_AW,COCA Fiction Range AW,Word Range,TAALES 2.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
